ano_trimestre,mes_central,ano_encuesta,mes_encuesta,region,provincia,r_p_c,estrato,tipo,conglomerado,id_identificacion,hogar,idrph,nro_linea,edad,tramo_edad,sexo,parentesco,curso,nivel,termino_nivel,estudia_actual,cine,est_conyugal,proveedor,orig1,orig2,orig3,nacionalidad,mig1,mig2_cod,mig3_cod,mig4,mig5_cod,mig6_cod,a1,a2,a3,a4,a5,a6,a6_otro,a7,a8,b1,b2,b3,b4,b5,b6,b7a_1,b7a_2,b7a_3,b7b_1,b7b_2,b7b_3,b7b_4,b8,b9,b10,b11_proxy,b12,b13_rev4cl_caenes,i1,i2,i3,i3_v,i4,i5,i6,i7,b14_rev4cl_caenes,b15_1,b15_2,b16,b16_otro,b17_mes,b17_ano,b18_codigo,b18_region,b18_varias,ocup_honorarios,plataformas_digitales,pd_especifique,b19,dependencia_segunda,sda_pd,sda_pd_especifique,turno,turno_d,turno_de,turno_h,turno_t,c2_1_1,c2_1_2,c2_1_3,c2_2_1,c2_2_2,c2_2_3,c3_1,c3_2,c3_3,turno_cont_d,turno_cont_de,turno_cont_h,turno_cont_t,c4,c5,c6,c7,c8,c9,c9_otro,adicionales_h,adicionales_d,adicionales_t,c10,c11,c12,habituales,efectivas,e2,e3_1,e3_2,e3_3,e3_4,e3_5,e3_6,e3_7,e3_8,e3_9,e3_10,e3_11,e3_12,e3_total,e4,e5,e5_dia,e5_sem,e5_mes,e5_ano,e6_mes,e6_ano,e7,e9,e9_otro,e10,deseo_trabajar,e11,e12,e12_otro,e13,e21_mes,e21_ano,e21_tramo,e22,e23,e23_otro,e24,e24_otro,activ,obe,tpi,id,ftp,cae_general,cae_especifico,categoria_ocupacion,ocup_form,r_p_rev4cl_caenes,sector,fact_anual
2023,2,2023,1,5,51,5109,5100212,1,12488,119735,1,2298403639,1,57,9.0,1,1,3,8,1,2,6,1,1,2,,,152,1,,,1,,,1.0,,1.0,,,,,,,2.0,2.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,1.0,1.0,1.0,0.0,,,,,16.0,5.0,,1.0,,88.0,2015.0,5101.0,5.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,888.0,5.0,44.0,,,,888.0,5.0,44.0,,,,,,2.0,,2.0,,,,,,,2.0,,,44.0,44.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,4,1.0,16.0,1.0,"43,6766558164495"
2023,2,2023,3,1,11,1101,1100112,1,16714,107784,1,321991367,2,20,2.0,1,4,1,9,2,1,7,3,0,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,2.0,3.0,,2.0,,,,,,,,,3.0,,,0.0,0.0,9,15,0,,,,"40,5310213863884"
2023,2,2023,3,5,51,5101,5100112,1,10364,126355,1,790479166,3,35,5.0,1,4,2,9,2,2,7,3,0,2,,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,1.0,30.0,5.0,3.0,2023.0,3.0,2023.0,1.0,,,,,1.0,,,1.0,2.0,2023.0,1.0,1.0,4.0,,,,2.0,,,,,4,8,0,,,,"37,5318306209386"
2023,11,2023,10,13,134,13402,13400211,1,17025,174474,1,5742510046,2,55,9.0,2,3,8,3,1,2,4,2,0,2,,,152,1,,,2,13101.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,2.0,2.0,5.0,,2.0,,,,,,,,,3.0,,,0.0,0.0,9,19,0,,,,"37,6776611607653"
2023,2,2023,3,3,33,3301,3200110,1,35750,124861,1,975378623,3,82,12.0,2,8,4,6,2,2,5,4,0,1,7.0,,152,1,,,1,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,2.0,2.0,5.0,,1.0,88.0,1983.0,4.0,3.0,,,,,3.0,,,0.0,0.0,9,19,0,,,,"12,9197419556566"
2023,2,2023,2,6,61,6101,6100111,1,28565,142930,1,17818520296,2,56,9.0,2,2,1,4,2,2,5,1,0,2,,,152,1,,,2,8301.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,1.0,,,1.0,3.0,2020.0,1.0,3.0,,,,,3.0,,,0.0,1.0,8,12,0,,,,"32,8157303412138"
2023,5,2023,4,14,141,14101,14100113,1,23622,147928,1,13149641345,2,67,11.0,1,3,2,9,2,2,7,2,0,2,,,152,1,,,2,13101.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,1.0,21.0,4.0,4.0,2023.0,3.0,2020.0,3.0,,,,,1.0,,,1.0,99.0,2016.0,4.0,4.0,,,,,2.0,,,,,4,8,0,,,,"30,3010430567058"
2023,11,2023,11,7,73,7301,7300113,1,29653,169044,1,11223474551,1,42,6.0,2,1,1,10,1,2,8,5,1,2,,,152,1,,,2,7101.0,,1.0,,1.0,,,,,,,3.0,2.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,15.0,1.0,1.0,1.0,0.0,,,,,17.0,5.0,,1.0,,8.0,2013.0,7301.0,7.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,888.0,5.0,44.0,,,,888.0,5.0,44.0,,,,,,2.0,,2.0,,,,,,,2.0,,,44.0,44.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,4,1.0,15.0,1.0,"33,4281537453647"
2023,11,2023,11,11,111,11101,11100110,1,13072,160601,1,18756121308,1,62,10.0,1,1,3,5,2,2,5,1,1,2,,,152,1,,,1,,,1.0,,1.0,,,,,,,7.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,,,,6.0,1.0,3.0,1.0,,3.0,1988.0,11101.0,11.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,888.0,6.0,45.0,,,,888.0,6.0,45.0,,,,,,2.0,,2.0,,,,,,,2.0,,,45.0,45.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,1,1,3,1.0,6.0,1.0,"8,7626138161745"
2023,2,2023,1,3,32,3202,3100210,1,31733,137678,1,4982702255,1,34,4.0,2,1,4,5,1,2,5,1,1,2,,,152,2,4301.0,,2,4301.0,,2.0,2.0,,,1.0,1.0,,,,3.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,,,,16.0,4.0,,1.0,,88.0,2018.0,3202.0,3.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,,888.0,5.0,44.0,,,,888.0,5.0,44.0,,,,,,2.0,,1.0,44.0,1.0,,,,,2.0,,,44.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,3,5,4,1.0,16.0,1.0,"15,7175761955166"
